Tarih,Close,Open,High,Low
30.09.2011,1.8599,1.8529,1.8658,1.8478
03.10.2011,1.8893,1.8575,1.8897,1.8535
04.10.2011,1.8995,1.8886,1.9108,1.879
05.10.2011,1.8701,1.8917,1.8987,1.8587
06.10.2011,1.8476,1.8669,1.8733,1.8313
07.10.2011,1.8497,1.8489,1.8532,1.8323
10.10.2011,1.8296,1.851,1.8527,1.827
11.10.2011,1.8403,1.8301,1.8505,1.8245
12.10.2011,1.8211,1.8399,1.844,1.8161
13.10.2011,1.8366,1.8192,1.8416,1.8145
14.10.2011,1.8306,1.8356,1.847,1.827
17.10.2011,1.8666,1.83,1.8704,1.8277
18.10.2011,1.8595,1.8665,1.8769,1.8449
19.10.2011,1.8681,1.8579,1.8729,1.8415
20.10.2011,1.8588,1.8695,1.8786,1.8486
21.10.2011,1.8339,1.8589,1.8641,1.8297
24.10.2011,1.7998,1.8403,1.8405,1.7979
25.10.2011,1.7806,1.7997,1.8098,1.7736
26.10.2011,1.7601,1.7811,1.7849,1.7525
27.10.2011,1.7475,1.7582,1.7702,1.7403
28.10.2011,1.7453,1.7475,1.7565,1.7421
31.10.2011,1.771,1.7443,1.7722,1.7415
01.11.2011,1.7915,1.7713,1.8076,1.7634
02.11.2011,1.7793,1.7937,1.7962,1.7692
03.11.2011,1.7535,1.7786,1.798,1.749
04.11.2011,1.7682,1.7541,1.7702,1.7392
07.11.2011,1.7771,1.7646,1.7847,1.7624
08.11.2011,1.7687,1.7766,1.7857,1.7684
09.11.2011,1.8005,1.7708,1.801,1.7662
10.11.2011,1.7864,1.8003,1.8071,1.7737
11.11.2011,1.7751,1.7863,1.7937,1.7682
14.11.2011,1.7843,1.7726,1.7892,1.7642
15.11.2011,1.7996,1.7842,1.8056,1.7805
16.11.2011,1.8055,1.7985,1.8115,1.7926
17.11.2011,1.8183,1.8076,1.8183,1.7962
18.11.2011,1.8311,1.8233,1.8317,1.8075
21.11.2011,1.8594,1.8336,1.8624,1.8209
22.11.2011,1.852,1.8564,1.8604,1.8322
23.11.2011,1.8733,1.8522,1.8779,1.8477
24.11.2011,1.8719,1.8752,1.8755,1.8564
25.11.2011,1.8858,1.8699,1.8916,1.8681
28.11.2011,1.8605,1.8795,1.8826,1.851
29.11.2011,1.8508,1.8595,1.8628,1.8405
30.11.2011,1.8293,1.8516,1.863,1.819
01.12.2011,1.8275,1.829,1.8406,1.8245
02.12.2011,1.8308,1.8302,1.834,1.81
05.12.2011,1.8318,1.8291,1.8347,1.8197
06.12.2011,1.834,1.8337,1.8461,1.8279
07.12.2011,1.8302,1.8341,1.8399,1.8199
08.12.2011,1.8478,1.8313,1.8552,1.8258
09.12.2011,1.843,1.8481,1.8598,1.8382
12.12.2011,1.8728,1.844,1.8744,1.8345
13.12.2011,1.882,1.8706,1.8848,1.8581
14.12.2011,1.8879,1.881,1.8886,1.873
15.12.2011,1.8777,1.8882,1.8886,1.8679
16.12.2011,1.8863,1.8747,1.8894,1.8697
19.12.2011,1.903,1.8871,1.9053,1.878
20.12.2011,1.8828,1.9043,1.9047,1.8758
21.12.2011,1.889,1.882,1.892,1.8715
22.12.2011,1.891,1.8855,1.8946,1.878
23.12.2011,1.8995,1.8932,1.9045,1.8795
26.12.2011,1.8915,1.8975,1.9045,1.8875
27.12.2011,1.898,1.8935,1.905,1.886
28.12.2011,1.9205,1.8988,1.9221,1.8925
29.12.2011,1.9175,1.9225,1.9245,1.9075
30.12.2011,1.885,1.9175,1.922,1.851
02.01.2012,1.8955,1.8822,1.9005,1.8725
03.01.2012,1.873,1.8895,1.896,1.8665
04.01.2012,1.8785,1.8761,1.8925,1.86
05.01.2012,1.883,1.877,1.889,1.8715
06.01.2012,1.8776,1.8815,1.888,1.8665
09.01.2012,1.868,1.8812,1.882,1.864
10.01.2012,1.8686,1.87,1.8782,1.8587
11.01.2012,1.855,1.8683,1.8726,1.8512
12.01.2012,1.851,1.8542,1.8602,1.8352
13.01.2012,1.8609,1.851,1.8692,1.8422
16.01.2012,1.8533,1.8638,1.8677,1.8479
17.01.2012,1.8449,1.8534,1.8538,1.8332
18.01.2012,1.8308,1.8426,1.8446,1.8303
19.01.2012,1.8261,1.8306,1.8392,1.8202
20.01.2012,1.83,1.825,1.835,1.8225
23.01.2012,1.818,1.832,1.841,1.815
24.01.2012,1.822,1.8173,1.8325,1.814
25.01.2012,1.8066,1.8195,1.8325,1.8054
26.01.2012,1.7936,1.8064,1.8106,1.7832
27.01.2012,1.7768,1.7936,1.7983,1.7733
30.01.2012,1.7878,1.7782,1.7952,1.7767
31.01.2012,1.7773,1.7859,1.7896,1.7632
01.02.2012,1.7571,1.7758,1.7848,1.7503
02.02.2012,1.7582,1.7547,1.7674,1.7487
03.02.2012,1.753,1.7577,1.7637,1.7412
06.02.2012,1.7587,1.7576,1.77,1.7548
07.02.2012,1.7481,1.7587,1.765,1.748
08.02.2012,1.751,1.7497,1.7555,1.737
09.02.2012,1.7531,1.7504,1.766,1.74
10.02.2012,1.763,1.7526,1.7737,1.751
13.02.2012,1.7657,1.7625,1.7682,1.7495
14.02.2012,1.7701,1.7657,1.7782,1.761
15.02.2012,1.7688,1.7709,1.7709,1.7532
16.02.2012,1.7619,1.769,1.7832,1.7604
17.02.2012,1.7523,1.7612,1.771,1.75
20.02.2012,1.7429,1.7484,1.755,1.733
21.02.2012,1.7512,1.7429,1.758,1.734
22.02.2012,1.7609,1.7512,1.7635,1.7455
23.02.2012,1.7611,1.7609,1.769,1.749
24.02.2012,1.7662,1.7607,1.7721,1.7519
27.02.2012,1.7643,1.7652,1.777,1.7624
28.02.2012,1.755,1.7664,1.7671,1.7501
29.02.2012,1.7491,1.7554,1.7554,1.737
01.03.2012,1.7535,1.7509,1.761,1.747
02.03.2012,1.7677,1.7525,1.7702,1.7517
05.03.2012,1.7699,1.7681,1.779,1.762
06.03.2012,1.794,1.7718,1.797,1.7699
07.03.2012,1.782,1.7913,1.796,1.781
08.03.2012,1.7758,1.7803,1.7839,1.769
09.03.2012,1.787,1.7758,1.789,1.774
12.03.2012,1.7945,1.7872,1.802,1.785
13.03.2012,1.7906,1.7957,1.8059,1.783
14.03.2012,1.8078,1.7916,1.8155,1.785
15.03.2012,1.797,1.8078,1.8114,1.793
16.03.2012,1.7949,1.797,1.8061,1.79
19.03.2012,1.8048,1.7963,1.813,1.7905
20.03.2012,1.8239,1.8048,1.827,1.8048
21.03.2012,1.813,1.824,1.8242,1.805
22.03.2012,1.809,1.814,1.8195,1.802
23.03.2012,1.8,1.809,1.8111,1.794
26.03.2012,1.7862,1.8016,1.803,1.783
27.03.2012,1.7878,1.7854,1.7902,1.7762
28.03.2012,1.7819,1.7885,1.792,1.776
29.03.2012,1.7855,1.7809,1.7893,1.765
30.03.2012,1.7825,1.7869,1.7883,1.774
02.04.2012,1.777,1.7809,1.7872,1.774
03.04.2012,1.7821,1.777,1.786,1.772
04.04.2012,1.7942,1.7821,1.7986,1.782
05.04.2012,1.7927,1.7927,1.8005,1.7835
06.04.2012,1.7932,1.7926,1.7966,1.7867
09.04.2012,1.7983,1.793,1.8052,1.7902
10.04.2012,1.814,1.7982,1.8184,1.7902
11.04.2012,1.8083,1.8145,1.8175,1.799
12.04.2012,1.7945,1.8083,1.8098,1.793
13.04.2012,1.7965,1.7945,1.8001,1.7855
16.04.2012,1.7963,1.798,1.807,1.793
17.04.2012,1.789,1.7963,1.8007,1.785
18.04.2012,1.7877,1.789,1.801,1.785
19.04.2012,1.7926,1.787,1.7952,1.7833
20.04.2012,1.7921,1.7917,1.7954,1.786
23.04.2012,1.7955,1.7916,1.7988,1.7911
24.04.2012,1.7811,1.7962,1.7971,1.778
25.04.2012,1.7698,1.7811,1.7838,1.768
26.04.2012,1.764,1.7698,1.7727,1.759
27.04.2012,1.7608,1.7667,1.772,1.756
30.04.2012,1.7565,1.7607,1.7651,1.7501
01.05.2012,1.755,1.757,1.7641,1.7528
02.05.2012,1.7601,1.7546,1.767,1.7529
03.05.2012,1.7628,1.7606,1.7651,1.751
04.05.2012,1.7585,1.7628,1.7649,1.752
07.05.2012,1.761,1.7665,1.7725,1.7585
08.05.2012,1.7774,1.761,1.7844,1.758
09.05.2012,1.7944,1.7774,1.8012,1.776
10.05.2012,1.7856,1.7935,1.7953,1.7791
11.05.2012,1.785,1.7866,1.7964,1.7805
14.05.2012,1.8105,1.7863,1.8138,1.7837
15.05.2012,1.8245,1.8112,1.8274,1.798
16.05.2012,1.8263,1.8273,1.8345,1.816
17.05.2012,1.8313,1.8263,1.833,1.812
18.05.2012,1.8366,1.8313,1.8431,1.825
21.05.2012,1.8238,1.8368,1.8381,1.821
22.05.2012,1.8344,1.8246,1.8361,1.819
23.05.2012,1.851,1.8344,1.86,1.8344
24.05.2012,1.8489,1.8512,1.859,1.837
25.05.2012,1.8489,1.8468,1.8527,1.834
28.05.2012,1.837,1.8458,1.8478,1.8269
29.05.2012,1.8321,1.8377,1.841,1.8255
30.05.2012,1.8566,1.8326,1.8585,1.829
31.05.2012,1.8661,1.8565,1.872,1.843
01.06.2012,1.857,1.8676,1.8793,1.853
04.06.2012,1.8526,1.8573,1.862,1.8417
05.06.2012,1.8461,1.8511,1.8538,1.8418
06.06.2012,1.829,1.8459,1.8464,1.8262
07.06.2012,1.8269,1.8281,1.837,1.815
08.06.2012,1.8238,1.8269,1.8425,1.822
11.06.2012,1.8293,1.8112,1.8327,1.807
12.06.2012,1.823,1.8304,1.837,1.821
13.06.2012,1.8185,1.825,1.831,1.8151
14.06.2012,1.8149,1.817,1.8275,1.8125
15.06.2012,1.8115,1.8167,1.821,1.81
18.06.2012,1.8117,1.8056,1.82,1.797
19.06.2012,1.7999,1.8117,1.815,1.7985
20.06.2012,1.7935,1.8,1.8009,1.7835
21.06.2012,1.8074,1.7937,1.8074,1.7865
22.06.2012,1.815,1.8075,1.822,1.8
25.06.2012,1.8223,1.8156,1.827,1.813
26.06.2012,1.8078,1.8222,1.8246,1.8078
27.06.2012,1.8139,1.8073,1.8164,1.8028
28.06.2012,1.8277,1.814,1.837,1.806
29.06.2012,1.8097,1.8278,1.8293,1.8021
